,key,press_time,release_time,hold_time,cpm
0,m,1555567686.5646784,1555567686.6505241,0.0858457088470459,5719505.454545455
1,a,1555567686.6522315,1555567686.778334,0.12610244750976562,1370.4337976627423
2,c,1555567686.7628582,1555567686.8662388,0.10338068008422852,908.2184127900682
3,h,1555567686.8507555,1555567686.9305336,0.07977819442749023,838.9041433807414
4,i,1555567686.9628267,1555567687.0584214,0.09559464454650879,753.4682356097219
5,n,1555567687.1067724,1555567687.194387,0.08761453628540039,664.0786260236939
6,e,1555567687.1709483,1555567687.2503319,0.07938361167907715,692.748851322336
7,Key.space,1555567687.2987554,1555567687.4023476,0.1035921573638916,653.8730348238024
8,l,1555567687.426691,1555567687.538611,0.11191987991333008,626.433317743426
9,e,1555567687.5404944,1555567687.6264307,0.08593630790710449,614.8633992464536
10,a,1555567687.5947733,1555567687.7625167,0.16774344444274902,640.7111646019338
11,r,1555567687.7643132,1555567687.842594,0.07828068733215332,600.177412023864
12,n,1555567687.8443105,1555567687.8905756,0.0462651252746582,609.5452050506688
13,i,1555567687.9628234,1555567688.0424144,0.07959103584289551,600.7915639901104
14,n,1555567688.0827036,1555567688.1864848,0.10378122329711914,592.8714518989249
15,g,1555567688.154841,1555567688.2265866,0.07174563407897949,603.7078961489693
16,Key.space,1555567688.2282472,1555567688.314316,0.08606886863708496,613.1358124340654
17,p,1555567688.3547955,1555567688.4585752,0.10377979278564453,603.3089768589298
18,r,1555567688.460431,1555567688.5544224,0.09399127960205078,601.3409400374046
19,o,1555567688.6028476,1555567688.6663427,0.06349515914916992,588.7606660392842
20,j,1555567688.8268907,1555567688.9226182,0.09572744369506836,556.9743256274735
21,e,1555567688.9243677,1555567689.0270913,0.10272359848022461,559.3932081260966
22,c,1555567689.0670576,1555567689.1384091,0.07135152816772461,551.4728648639173
23,t,1555567689.306749,1555567689.370555,0.06380581855773926,525.1485689830957
24,Key.space,1555567689.770818,1555567689.8584251,0.08760714530944824,467.85084113350456
25,t,1555567689.8603327,1555567689.981918,0.12158536911010742,473.34911184386624
26,e,1555567689.9467685,1555567690.0342624,0.087493896484375,478.99225959246724
27,s,1555567690.1309385,1555567690.2423818,0.11144328117370605,471.0803506586399
28,t,1555567690.2187426,1555567690.330573,0.11183047294616699,476.18074551587796
29,Key.space,1555567690.3734524,1555567690.4742987,0.1008462905883789,472.5917171616005
30,1,1555567690.517279,1555567690.650325,0.13304615020751953,470.57502353054434
31,2,1555567690.6747444,1555567690.778412,0.1036677360534668,467.1445978893097
32,3,1555567690.8826692,1555567690.9705558,0.08788657188415527,458.5454880760377
