key,press_time,release_time,hold_time
Key.ctrl,1556409964.906403,1556409965.0130339,0.10663080215454102
Key.shift,1556409965.847393,1556409965.9436412,0.09624814987182617
l,1556409966.221528,1556409966.4283452,0.2068171501159668
s,1556409966.2428029,1556409966.37284,0.1300370693206787
k,1556409966.296396,1556409966.464211,0.1678149700164795
a,1556409966.372643,1556409966.500417,0.12777400016784668
s,1556409966.504074,1556409966.5686772,0.06460309028625488
Key.shift,1556409966.898478,1556409967.002805,0.10432696342468262
Key.shift,1556409968.139269,1556409968.2277691,0.0885000228881836
Key.shift,1556409969.8042848,1556409969.876677,0.07239222526550293
Key.shift,1556409970.188344,1556409970.408215,0.21987104415893555
A,1556409970.3282712,1556409970.4246242,0.09635305404663086
s,1556409971.22238,1556409971.314531,0.09215116500854492
Key.ctrl,1556409971.794454,1556409971.9042912,0.10983705520629883
