key,press_time,release_time,hold_time
Key.shift,1556412546.181997,1556412546.514241,0.3322439193725586
B,1556412546.4393358,1556412546.497771,0.05843520164489746
a,1556412546.856878,1556412547.032846,0.17596793174743652
s,1556412547.00094,1556412547.128799,0.12785887718200684
e,1556412547.112784,1556412547.213155,0.10037112236022949
b,1556412547.516729,1556412547.580983,0.0642538070678711
a,1556412547.654803,1556412547.743119,0.08831596374511719
l,1556412547.778859,1556412547.8471181,0.06825923919677734
l,1556412547.94591,1556412548.026098,0.08018803596496582
Key.space,1556412548.0425851,1556412548.1269639,0.08437871932983398
h,1556412548.20575,1556412548.286017,0.08026695251464844
a,1556412548.3076851,1556412548.431829,0.12414383888244629
s,1556412548.3676832,1556412548.5035021,0.1358189582824707
Key.space,1556412548.499794,1556412548.595896,0.09610199928283691
b,1556412548.7108202,1556412548.791042,0.08022189140319824
e,1556412548.818808,1556412548.899101,0.08029294013977051
e,1556412549.064786,1556412549.153036,0.08825016021728516
n,1556412549.200765,1556412549.2851021,0.08433723449707031
Key.space,1556412549.292594,1556412549.372948,0.08035397529602051
t,1556412549.433856,1556412549.509084,0.07522797584533691
h,1556412549.505804,1556412549.578045,0.07224082946777344
e,1556412549.610749,1556412549.706121,0.09537196159362793
Key.space,1556412549.6946461,1556412549.734427,0.03978085517883301
n,1556412549.831757,1556412549.904007,0.0722498893737793
a,1556412549.931596,1556412550.043863,0.11226701736450195
t,1556412550.023689,1556412550.116141,0.0924520492553711
i,1556412550.115948,1556412550.179997,0.06404900550842285
o,1556412550.3177228,1556412550.3697448,0.05202198028564453
n,1556412550.48668,1556412550.559053,0.0723729133605957
a,1556412550.587301,1556412550.708014,0.1207129955291748
l,1556412550.7574358,1556412550.8497071,0.09227132797241211
Key.space,1556412550.861591,1556412550.9458718,0.08428072929382324
p,1556412551.0647008,1556412551.125047,0.060346126556396484
a,1556412551.147686,1556412551.300164,0.15247797966003418
s,1556412551.337752,1556412551.454057,0.11630487442016602
t,1556412551.570574,1556412551.642988,0.07241392135620117
i,1556412551.656718,1556412551.708964,0.05224609375
m,1556412551.855637,1556412551.9434628,0.08782577514648438
e,1556412551.927553,1556412552.01199,0.08443713188171387
Key.space,1556412552.049643,1556412552.093398,0.04375505447387695
i,1556412552.128862,1556412552.196681,0.06781911849975586
n,1556412552.341804,1556412552.433043,0.09123897552490234
Key.space,1556412552.465609,1556412552.557945,0.09233593940734863
t,1556412552.6046999,1556412552.672838,0.06813812255859375
h,1556412552.6885178,1556412552.752949,0.06443119049072266
e,1556412552.7826402,1556412552.874912,0.09227180480957031
Key.space,1556412552.8925,1556412552.956705,0.06420516967773438
Key.shift,1556412553.043705,1556412553.2039611,0.16025614738464355
U,1556412553.103717,1556412553.155908,0.05219101905822754
n,1556412553.299671,1556412553.363944,0.06427311897277832
i,1556412553.4534242,1556412553.521726,0.06830167770385742
t,1556412553.539716,1556412553.6283278,0.08861184120178223
e,1556412553.607806,1556412553.703968,0.09616208076477051
d,1556412554.4251368,1556412554.525983,0.1008462905883789
Key.space,1556412554.576614,1556412554.66867,0.0920560359954834
